one,two,three,four
8.316602325439476,7.171653747558594,8.921796798706055,10.586820602416992
9.444729614257824,9.019272613525402,5.120345306396473,10.992192459106434
-7.063740539550793,-1.757741546630882,-3.692739486694336,0.0583942413330191
-8.720506286621116,-6.692890930175793,-6.534063339233398,-7.727083969116222
-5.078606414794933,-3.936301422119129,-5.471450042724598,-6.133503341674782
-2.6467857360839844,-1.3739601135254134,-4.472438430786156,-5.046692276000954
-0.7241653442382585,1.076081848144554,-1.3796127319336051,-1.7763332366943132
3.635936737060547,6.449699401855469,1.0429824829101335,4.952759933471668
-7.617107391357422,-3.308193969726574,-3.0521293640136946,-1.5217041015624773
-7.564549255371105,-4.300617218017578,-3.3357345581054574,-5.552517700195324
-8.268156814575207,-5.540673828125023,-9.797893905639626,-8.692868423461903
-11.881629943847656,-7.023728179931652,-10.778367233276356,-13.481816864013696
-3.113109207153343,0.3222160339355469,-2.577450180053688,-4.695761489868175
3.6797119140625223,4.094989776611328,6.876662826538109,6.995206069946278
-5.483644104003929,-2.761991882324196,-2.020422744750988,-1.2849102020263672
-3.93440971374514,-1.1335418701171989,-1.7767509460448991,-1.4509346008300668
-4.119901275634788,-1.07819061279298,-3.6575889587402335,-6.527174377441384
-1.9679843902587777,-1.3239685058593975,-7.267725753784191,-6.321859359741211
-10.090616226196287,-9.642463684082031,-13.352832031249989,-12.320658111572245
-5.547098922729504,-5.1204986572265625,-5.139296340942394,-7.981790924072243
5.558346176147438,6.632434082031239,6.401317596435547,5.479748535156261
4.756933975219738,3.971189880371071,3.5073631286621207,7.01954917907716
0.7608856201171648,0.1680580139160383,2.212428283691395,2.3849353790283203
3.444004821777355,3.049205780029297,4.127876663207985,0.7222183227539176
4.167391204833962,5.103714752197277,7.664055252075173,7.055197143554665
4.361431884765636,2.9343498229980582,8.085606765747059,8.571505355834972
5.457865142822243,3.177011871337868,8.115855789184593,8.831977844238281
4.036804962158215,2.5784553527831804,6.439477539062523,8.167792510986317
4.409043121337902,3.142975616455089,4.824903106689476,7.991172790527344
1.7134368896484489,0.8557792663574446,0.0136890411376953,3.579507064819325
-0.4125305175781477,-0.5754043579101449,-1.2081546783447266,0.4970657348632699
-4.778103637695324,-3.649075317382824,-5.96185302734375,-3.5612800598144645
